Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00025092-02,TACR2,GR-159897,BANYJBHWTOJQDU,Tachykinin NK2 Antagonist
NCGC00023673-08,ADORA1,ADENOSINE,OIRDTQYFTABQOQ,Adenosine Receptor Agonist
NCGC00162385-05,PDE3A,Olprinone hydrochloride,JPAWFIIYTJQOKW,Phosphodiesterase III (PDE3) Inhibitor
NCGC00263105-01,,Turofexorate isopropyl;FXR-450/WAY-362450/XL-335,INASOKQDNHHMRE,Farnesoid X Receptor Agonist
NCGC00263158-01,PDGFRA,Amuvatinib;MP-470/HPK-56,FOFDIMHVKGYHRU,PDGFR alpha Inhibitor
NCGC00159349-07,PGR,Levonorgestrel (Levonelle),WWYNJERNGUHSAO,Progestogen hormone
NCGC00015884-09,NISCH,Rilmenidine,CQXADFVORZEARL,Imidazoline I1 Receptor Agonists
NCGC00016361-13,PTGS1,ACETAMINOPHEN,RZVAJINKPMORJF,Cyclooxygenase-3 Inhibitor
NCGC00014925-07,TOP1,Topotecan hydrochloride,UCFGDBYHRUNTLO,DNA Topoisomerase I Inhibitors
NCGC00178638-04,,Valaciclovir HCl,HDOVUKNUBWVHOX,DNA Polymerase Inhibitors
NCGC00090759-02,,cis-Dichlorodiamine platinum,DQLATGHUWYMOKM,DNA Alkylating Agent
NCGC00263164-01,KDR,Cabozantinib;BMS-907351/XL-184,ONIQOQHATWINJY,VEGFR-2 Inhibitor
NCGC00024196-06,PGR,Megestrol Acetate,RQZAXGRLVPAYTJ,Progesterone Receptor Antagonist
NCGC00183039-01,,Nystatin,VQOXZBDYSJBXMA,Antifungal Agent
NCGC00262598-01,,Atracurium besylate,YXSLJKQTIDHPOT,neuromuscular blocker
NCGC00185000-03,EGFR,Afatinib;BIBW-2992,ULXXDDBFHOBEHA,EGFR (HER1; erbB1) inhibitor
NCGC00250403-01,KDR,Linifanib;ABT-869/RG-3635,MPVGZUGXCQEXTM,VEGFR-2 inhibitor
NCGC00015887-05,ADRB2,RITODRINE HYDROCHLORIDE,IOVGROKTTNBUGK,beta2-Adrenoceptor Agonists
NCGC00238454-02,PIK3CA,PIK-90,ZJAVHOMVDCMAMF,PI3K Inhibitor
NCGC00025300-01,HIF1A,2-Methoxyestradiol,CQOQDQWUFQDJMK,Hypoxia Inducible Factor 1-alpha Inhibitor
NCGC00347908-01,P2RX7,A 740003,JDAOXUVHEBTCNB,P2X7 Receptor Antagonist
NCGC00016706-05,TUBB,,YRWLZFXJFBZBEY,Tubulin depolymerization inhibitor
NCGC00181129-05,ABL1,Dasatinib;BMS-354825;Sprycel,ZBNZXTGUTAYRHI,Bcr-Abl inhibitor
NCGC00185994-02,MYC,10058-F4,SVXDHPADAXBMFB,MYC Expression Inhibitors
NCGC00263187-01,MAP2K1,TAK-733,RCLQNICOARASSR,MEK inhibitor
NCGC00183285-04,ABL1,Nilotinib;AMN-107?,HHZIURLSWUIHRB,Bcr-Abl Kinase Inhibitor
NCGC00183682-01,CASP1,,SJDDOCKBXFJEJB,Caspase 1 (IL-1beta Converting Enzyme) Inhibitors
NCGC00346577-01,BRAF,Raf265 derivative,UDNNLEQKNPVZON,Raf kinase B/C inhibitor
NCGC00168784-01,RRM2,Gemcitabine;Gemzar;Inno-D07001,SDUQYLNIPVEERB,ribonucleotide reductase inhibitor
NCGC00347947-01,,,ULFUJLFTRWWLPO,TGF-b Inhibitor
NCGC00346714-01,AKT1,GDC-0068,GRZXWCHAXNAUHY,PKB/Akt Inhibitor
NCGC00242481-02,CHEK1,AZD-7762,IAYGCINLNONXHY,Chk1/2 Inhibitor
NCGC00346587-01,PTP4A1,Bergenin (Cuscutin),YWJXCIXBAKGUKZ,Protein Tyrosine Phosphatase (PTP) Inhibitors
NCGC00178319-07,,Thiamphenicol (Thiophenicol),SPIWJGRFUSFKBK,Antibiotic
NCGC00347282-01,MCL1,VU0483487-1,CNMHULGZUHYIAQ,Mcl Inhibitor
NCGC00263086-01,RPS6KA1,BI-D1870,YIJVPONGUZTUBW,MAPKAP-K1 (RSK; p90Rsk) Inhibitor
NCGC00017323-07,,TETRACYCLINE HYDROCHLORIDE,OFVLGDICTFRJMM,30S Ribosomal Protein Inhibitors
NCGC00167805-02,CASP3,Ivachtin,MWXJJTMEUGWKKY,Caspase 3 inhibitor
NCGC00016672-04,HRH1,Chloropyramine hydrochloride,ICKFFNBDFNZJSX,Histamine H1 Receptor Antagonists
NCGC00346537-01,MAPK14,LY2228820,XPPBBJCBDOEXDN,p38 MAPK Inhibitor
NCGC00250401-01,CDK1,Flavopiridol;Alvocidib;HL-275;HMR-1275;L86-8275;MDL-107826A;NSC-649890,BIIVYFLTOXDAOV,CDK1/2/4/6/7/9 Inhibitor
NCGC00346931-01,PTK2,NVP-TAE226,UYJNQQDJUOUFQJ,Focal Adhesion Kinase (FAK) Inhibitor
NCGC00094872-08,MAOA,PIPERINE,MXXWOMGUGJBKIW,MAO-A/B Inhibitor
NCGC00186464-02,,ALISKIREN HEMIFUMARATE,UXOWGYHJODZGMF,Renin Inhibitor
NCGC00159515-02,GABRA1,Eszopiclone,GBBSUAFBMRNDJC,GABAA Receptor Modulator
NCGC00016256-16,DHFR,Pyrimethamine,WKSAUQYGYAYLPV,Dihydrofolate Reductase (DHFR) Inhibitors
NCGC00347174-02,MCL1,VU0482089-2,VKKQBUSCPZGZBT,Mcl Inhibitor
NCGC00095112-04,,AVOBENZONE,XNEFYCZVKIDDMS,UVA ray absorber
NCGC00093347-06,ESR1,Mestranol,IMSSROKUHAOUJS,Estrogen Receptor (ER) Agonist
NCGC00345802-01,HDAC6,ACY-1215,QGZYDVAGYRLSKP,Histone Deacetylase (HDAC) 6 Inhibitor
NCGC00163540-03,,DIOSMETIN,MBNGWHIJMBWFHU,Lipid Lowering Agents
NCGC00344509-01,CASR,AC-265347,IGSZVEPQZANNAB,Calcium-Sensing Receptor (CaSR) Agonists
NCGC00346729-01,,Mitiglinide calcium,WPGGHFDDFPHPOB,Insulin Secretagogues
NCGC00095133-04,,FAMCICLOVIR,GGXKWVWZWMLJEH,antiviral
NCGC00346674-01,HSP90AB1,AT13387,IFRGXKKQHBVPCQ,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00091544-08,ESR1,beta-Estradiol,VOXZDWNPVJITMN,Estrogen Receptor (ER) Agonist
NCGC00346610-01,,Pantothenic acid (pantothenate),GHOKWGTUZJEAQD,Vitamin
NCGC00023509-14,HMGCR,LOVASTATIN,PCZOHLXUXFIOCF,HMG-CoA Reductase Inhibitor
NCGC00016014-08,JAK2,,TUCIOBMMDDOEMM,Jak2/3 Inhibitor
NCGC00346487-01,HDAC1,JNJ-26481585,PAWIYAYFNXQGAP,HDAC1 Inhibitor
NCGC00346556-01,NOTCH1,Semagacestat (LY450139),PKXWXXPNHIWQHW,g-Secretase Inhibitor
NCGC00346955-01,LCK,A-770041,ZMNWFTYYYCSSTF,Lck Kinase Inhibitors
NCGC00346830-01,DNMT1,NSC-48006,IDYKCXHJJGMAEV,DNA Methyltransferase (DNMT) Inhibitor
NCGC00346694-01,,MK-2048,JSRREMIKIHJGAA,HIV Integrase Inhibitors
NCGC00161414-02,HTR3A,TROPISETRON,ZNRGQMMCGHDTEI,5-HT3 Antagonists
NCGC00015724-14,PTGS2,NIFLUMIC ACID,JZFPYUNJRRFVQU,Cyclooxygenase-2 Inhibitor
NCGC00162249-04,ALOX5AP,,QAOAOVKBIIKRNL,5-lipoxygenase-activating (FLAP) inhibitor
NCGC00169145-02,APP,Salidroside(Rhodioloside),ILRCGYURZSFMEG,beta-Amyloid (Abeta) Protein Neurotoxicity Inhibitors
NCGC00015026-14,CHRM1,ATROPINE SULFATE,RKUNBYITZUJHSG,M1 Muscarinic acetylcholine receptor Antagonists
NCGC00167441-03,DRD3,Pramipexole (Mirapex),FASDKYOPVNHBLU,Dopamine D3 Antagonist
NCGC00037850-05,HPGD,,SGHSEHOWYLRAPR,HPGD Inhibitor
NCGC00159456-06,ABL1,Imatinib;GGP-57148B;Gleevec;STI-571,KTUFNOKKBVMGRW,Bcr-Abl Inhibitor
NCGC00165902-02,MET,SU11274,PGKXHYVUCJQWPU,HGFR (MET; c-Met) Inhibitor
NCGC00165815-05,,JS-K,DNJRNBYZLPKSHV,nitric oxide donors
NCGC00179341-02,HTR3A,Ondansetron,FELGMEQIXOGIFQ,5-HT3 Antagonists
NCGC00263195-01,EGFR,AV-412;MP-412,ZAJXXUDARPGGOC,EGFR (HER1; erbB1) inhibitor
NCGC00095486-03,,ERGOSTEROL,DNVPQKQSNYMLRS,Sterol (fungal cell wall)
NCGC00163489-04,CCR5,Shikonin,NEZONWMXZKDMKF,Drugs Acting on Chemokine Receptors
NCGC00274030-01,,NVP-BGJ398,QADPYRIHXKWUSV,FGFR 1/2/3/4 inhibitor
NCGC00165889-02,,SB-505124,WGZOTBUYUFBEPZ,TGF-bR1 (ALK4/5) Inhibitor
NCGC00346627-01,POLR2A,CX-5461,XGPBJCHFROADCK,RNA Polymerase Inhibitor
NCGC00263174-01,KIF11,Ispinesib;CK-0238273/SB-715992,QJZRFPJCWMNVAV,Kinesin-Like Spindle Protein Inhibitor
NCGC00263169-01,TUBB,Plinabulin,UNRCMCRRFYFGFX,Tubulin polymerization inhibitor
NCGC00263152-02,,Ponatinib (AP24534),PHXJVRSECIGDHY,FGFR Inhibitor
NCGC00345447-02,PIK3CA,3-Methyladenine,FSASIHFSFGAIJM,PI3K Inhibitor
NCGC00263544-02,TOP2A,Dexrazoxane Hydrochloride,BMKDZUISNHGIBY,DNA Topoisomerase II Inhibitors
NCGC00068236-08,TOP2B,GATIFLOXACIN,XUBOMFCQGDBHNK,DNA Topoisomerase IV Inhibitors
NCGC00263183-01,WEE1,MK-1775,BKWJAKQVGHWELA,Wee1 Kinase Inhibitor
NCGC00185756-01,,Estramustine phosphate sodium,ADFOJJHRTBFFOF,DNA Alkylating Agent
NCGC00263235-01,ACACA,ACC1 BMS,VZPUSWFWIJXJDY,Acetyl-CoA carboxylase inhibitor
NCGC00346944-01,ROCK1,Y-39983 dihydrochloride,JTVBXQAYBIJXRP,ROCK Inhibitor
NCGC00165727-02,AKT1,AKT inhibitor VIII,BIWGYFZAEWGBAL,AKT 1/2 Inhibitor
NCGC00187481-04,MTOR,BEZ235;NVP-BEZ-235,JOGKUKXHTYWRGZ,mTOR inhibitor
NCGC00346883-01,GSK3B,BIO-acetoxime,MENDIXKFTXYTHJ,GSK-3 inhibitor
NCGC00346511-01,PLK1,ON-01910,HJYORJBPHBUKBI,Polo-like Kinase-1 (Plk-1) Inhibitor
NCGC00177986-04,,Pefloxacin mesylate,FHFYDNQZQSQIAI,Antibacterial
NCGC00095055-03,WNT1,SALINOMYCIN_:_ SODIUM,KQXDHUJYNAXLNZ,Anticoccidial/Antibacterial
NCGC00167767-03,IKBKB,IKK 16,BWZJBXAPRCVCKQ,IKK1_:_ IKK-2_:_ IKK complex inhibitor
NCGC00015225-03,BCL2L1,Chelerythrine chloride;MP-0922/NSC-646662,LLEJIEBFSOEYIV,Bcl-xL inhibitor
NCGC00017363-10,GSK3B,CYCLOHEXIMIDE,YPHMISFOHDHNIV,Glycogen Synthase Kinase 3 beta (GSK-3beta; tau Protein Kinase I) Inhibitor
NCGC00186528-04,PKM2,NCGC00186528,ZWKJWVSEDISQIS,PKM2 activator
NCGC00015819-11,,Propafenone,JWHAUXFOSRPERK,anti-arrythmia drug
NCGC00161641-04,,Sinomenine (Cucoline),INYYVPJSBIVGPH,Antiinflammatory opioid
NCGC00263016-01,TRPV4,DE-096,AIUJHENHBJHHMY,TRPV4 Antagonist
NCGC00263239-02,RPS6KA1,FMK,UPTQGXMIZXGVSC,MAPKAP-K1 (RSK; p90Rsk) Inhibitor
NCGC00025155-01,,Omacetaxine mepesuccinate,HYFHYPWGAURHIV,Alkaloid
NCGC00163620-02,,Sclareolide (Norambreinolide),IMKJGXCIJJXALX,sesquiterpene natural product
NCGC00015054-06,ACHE,Tacrine,YLJREFDVOIBQDA,Acetylcholinesterase Inhibitors
NCGC00016246-12,MMP1,Chlorhexidine,GHXZTYHSJHQHIJ,MMP Inhibitor
NCGC00015144-04,MGMT,O6-benzylguanine,KRWMERLEINMZFT,O6-Alkylguanine-DNA Alkyltransferase (MGMT) Inhibitors
NCGC00181345-01,ACE,Temocapril hydrochloride,FIQOFIRCTOWDOW,Angiotensin-I Converting Enzyme Inhibitor
NCGC00164561-03,,Zanamivir (Relenza),ARAIBEBZBOPLMB,Neuraminidase (Sialidase) Inhibitors
NCGC00263155-01,HDAC1,Belinostat,ZYHQUMIRDYCAMN,Histone Deacetylase (HDAC) 1/2 Inhibitor
NCGC00263137-01,AR,RD-162;NC-53,JPQFGMYHKSKKGW,Androgen Receptor Antagonist
NCGC00346894-01,,PSC 833,YJDYDFNKCBANTM,P-Glycoprotein (MDR-1; ABCB1) Inhibitors
NCGC00095838-03,HTR1B,SUMATRIPTAN,VUKRFPJOONBESE,5-HT1B Agonist
NCGC00263230-01,FAS,FASN MRK,PSQCGDAJJBYDRJ,Fatty acid synthase inhibitor
NCGC00164566-02,HMGCR,ITAVASTATIN CALCIUM,VGYFMXBACGZSIL,HMG-CoA Reductase Inhibitor
NCGC00189393-03,BLM,NCGC00189393-02,WMCOYUSJXXCHFH,BLM inhibitor
NCGC00093704-11,,CYCLOSPORINE,PMATZTZNYRCHOR,immunosuppressant
NCGC00263175-01,ANPEP,Tosedostat;BB-76163/CHR-2797,FWFGIHPGRQZWIW,Aminopeptidase N Inhibitor
NCGC00168108-02,PARP1,AG-14361;TBI-361???,SEKJSSBJKFLZIT,PARP-1 Inhibitor
NCGC00346971-01,,Double JS-K,PLJOHHDIEPULOP,nitric oxide donors
NCGC00168759-04,CFTR,,OOUGLTULBSNHNF,CFTR-G542X nonsense allele inhibitor
NCGC00263114-01,SLC6A9,SCH-900435;Org-25935,UEBBYLJZCHTLEG,Glycine Transporter 1 (GlyT-1) Inhibitor
NCGC00018193-06,HTR1A,Fluvoxamine,CJOFXWAVKWHTFT,5-HT Reuptake Inhibitor
NCGC00346968-01,,JS-65-103,BPXMEEZAQCQENP,nitric oxide donors
NCGC00263539-03,HTR2A,Ziprasidone hydrochloride,MVWVFYHBGMAFLY,5-HT2A Antagonists?
NCGC00014670-16,DRD1,DOMPERIDONE,FGXWKSZFVQUSTL,Dopamine Receptor Antagonist
NCGC00346439-01,SLC6A3,Diclofensine,ZJDCGVDEEHWEIG,Dopamine Transporter (DAT) Inhibitor
NCGC00159453-06,ALOX5,Zileuton;A-64077/ABT-077,MWLSOWXNZPKENC,5-Lipoxygenase Inhibitor
NCGC00263135-01,XDH,Piraxostat,AETHRPHBGJAIBT,Xanthine Oxidase Inhibitor
NCGC00263281-01,FAS,GSK-1995010,MXQGGBTXHJSPPG,FAS inhibitor
NCGC00095089-11,,FLUCONAZOLE,RFHAOTPXVQNOHP,Antifungal Agent
NCGC00142615-03,ADRA1A,Epinephrine,UCTWMZQNUQWSLP,alpha/beta-adrenoceptor agonist
NCGC00025325-03,TBXA2R,GR-32191B,GQGRDYWMOPRROR,Prostanoid TP Antagonist
NCGC00253658-02,SLC6A4,Dapoxetine hydrochloride (Priligy),USRHYDPUVLEVMC,Serotonin Transporter (SERT) Inhibitor
NCGC00015856-08,DRD2,Prochlorperazine dimaleate,WIKYUJGCLQQFNW,Dopamine D2 Antagonist
NCGC00079434-03,,,OQAFDLPAPSSOHY,Cryptochrome Activator
NCGC00346464-01,KIF11,ARRY-520,LLXISKGBWFTGEI,Kinesin-Like Spindle Protein Inhibitor
NCGC00263144-02,EGFR,WZ-4002,ITTRLTNMFYIYPA,EGFR (HER1; erbB1) Inhibitor
NCGC00263215-02,MTOR,Torin 1,AKCRNFFTGXBONI,mTOR inhibitor
NCGC00346590-01,,Dihydroartemisinin (DHA),BJDCWCLMFKKGEE,antimalarial agents
NCGC00015950-07,GSK3B,SB 415286,PQCXVIPXISBFPN,GSK-3 inhibitor
NCGC00242482-01,AURKA,SNS-314,FAYAUAZLLLJJGH,Aurora-A/B/C Kinase Inhibitor
NCGC00188380-01,MAP2K1,RDEA-119;AR-119;BAY-86-9766,QXLZZQSWYQRQEM,Mek 1/2 inhibitor
NCGC00345781-01,,1-(2 -Deoxy-2 -fluoro-b-D-arabinofuranosyl)uracil,UIYWFOZZIZEEKJ,DNA-Intercalating Drugs
NCGC00094763-03,,Polymyxin B sulphate,WQVJHHACXVLGBL,Peptide Antibiotic
NCGC00263168-01,CDK1,PHA-793887,HUXYBQXJVXOMKX,CDK1_:_2_:_3_:_4_:_5 Inhibitor
NCGC00016446-12,,METRONIDAZOLE,VAOCPAMSLUNLGC,Antibiotic
NCGC00346691-01,,Canagliflozin,XTNGUQKDFGDXSJ,SGLT-2 inhibitor
NCGC00263207-01,ARF1,QS11,DOKZLKDGUQWMSX,ADP-ribosylation factor GTPase activating protein 1 inhibitor
NCGC00165761-02,IKBKB,BMS345541,PSPFQEBFYXJZEV,IKK beta inhibitor
NCGC00162381-03,PRKCA,THAPSGARGIN,IXFPJGBNCFXKPI,PKC Activator
NCGC00163633-03,,Tetrahydropapaverine hydrochloride,YXWQTVWJNHKSCC,neurtotoxic
NCGC00091533-11,ESR1,Ethinyl Estradiol,BFPYWIDHMRZLRN,Estrogen Receptor (ER) Agonist
NCGC00161327-05,VDR,Calcitriol (Rocaltrol),GMRQFYUYWCNGIN,Vitamin D Analog
NCGC00183095-01,,Tigecycline,FPZLLRFZJZRHSY,glycylcycline antibiotics
NCGC00163510-03,CASP3,Aloe-emodin,YDQWDHRMZQUTBA,Caspase 3 Activators
NCGC00159438-02,,Selenomethionine,RJFAYQIBOAGBLC,dietary supplement
NCGC00242512-01,,methyl jasmonate,GEWDNTWNSAZUDX,cytochrome c release inducer
NCGC00161418-02,OPRL1,JTC-801,VTGBZWHPJFMTKS,ORL1 (OP4_:_ NOP) Antagonists
NCGC00344081-02,,STF-62247,KATNUHQNJGNLPW,Renal cell growth inhibition
NCGC00346712-01,,Verteporfin (Visudyne),YTZALCGQUPRCGW,photosensitizer
NCGC00263944-01,,KANAMYCIN A SULFATE,SBUJHOSQTJFQJX,30S Ribosomal Protein Inhibitors
NCGC00346685-01,HSP90AB1,KW-2478,VFUXSYAXEKYYMB,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00015619-09,HRH1,Loratadine,JCCNYMKQOSZNPW,Histamine H1 Receptor Antagonists
NCGC00183837-01,,Monatepil,WFNRNNUZFPVBSM,Calcium Channel Blocker
NCGC00014926-03,,L-651_:_582,WNRZHQBJSXRYJK,Calcium Channel Blocker
NCGC00024547-06,,nor-Binaltorphimine dihydrochloride,APSUXPSYBJVPPS,Opioid receptor antagonist
NCGC00346678-01,HSP90AB1,Ganetespib (STA-9090),RVAQIUULWULRNW,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00346576-01,PARP1,A-966492,AHIVQGOUBLVTCB,PARP-1 Inhibitor
NCGC00347936-01,SIRT2,,ZRPVKNCEXWKJMU,Histone Deacetylase SIRT2 Inhibitors
NCGC00093354-09,,NIACINAMIDE,DFPAKSUCGFBDDF,Vitamin
NCGC00346700-01,SCN10A,A-803467,VHKBTPQDHDSBSP,Nav1.8 (SNS/PN3) Sodium Channel Blockers
NCGC00346992-01,,,KRCOMOOXOZSNAJ,Calcium Dependent Protein Kinase (CDPK) 1 Inhibitor
NCGC00015810-13,PDE10A,PAPAVERINE HYDROCHLORIDE,XQYZDYMELSJDRZ,Phosphodiesterase X (PDE10) inhibitor
NCGC00016611-09,,BUFEXAMAC,MXJWRABVEGLYDG,non-steroidal antiinflammatory
NCGC00346596-01,OPRM1,Oxymatrine (Matrine N-oxide),XVPBINOPNYFXID,mu/kappa-Opioid Agonists
NCGC00346608-01,,Astragaloside A,QMNWISYXSJWHRY,treatment of degenerative bone diseases
NCGC00015185-04,,CARBIDOPA,TZFNLOMSOLWIDK,decarboxylase inhibitor
NCGC00347948-01,,,WRKPZSMRWPJJDH,Porcupine (Wnt) Inhibitor
NCGC00344623-02,,,PQOOIERVZAXHBP,L3MBTL3 methyllysine (Kme) reader domain inhibitor
NCGC00346877-01,MMP1,Batimastat,XFILPEOLDIKJHX,MMP Inhibitor
NCGC00253867-01,HTR4,,ZPMNHBXQOOVQJL,5-HT4 Agonists
NCGC00346738-01,,Pregabalin,AYXYPKUFHZROOJ,L-type Ca2+ channel blocker
NCGC00163135-04,,Niguldipine,SVJMLYUFVDMUHP,L-type Ca2+ channel blocker
NCGC00178734-03,DPP4,SITAGLIPTIN,MFFMDFFZMYYVKS,Dipeptidyl Peptidase IV (CD26; DPP-IV; DP-IV) Inhibitor
NCGC00018102-06,,Flunarizine,SMANXXCATUTDDT,Calcium Channel Blocker
NCGC00346555-01,F10,Apixaban,QNZCBYKSOIHPEH,Coagulation Factor Xa Inhibitor
NCGC00186047-02,PAK1,p21-Activated Kianse Inhibitor III_:_ IPA-3,RFAXLXKIAKIUDT,p21-Activated Kinase 1 (PAK1) Inhibitors
NCGC00167438-02,,Trospium chloride,OYYDSUSKLWTMMQ,Muscarinic Antagonists
NCGC00346581-01,JAK2,AZ 960,SUNXHXDJOIXABJ,Jak2/3 Inhibitor
NCGC00015997-06,,l-Taurine,XOAAWQZATWQOTB,amino acid antipsychotic
NCGC00015883-08,DRD2,,RAPZEAPATHNIPO,Dopamine D2 Antagonist
NCGC00159521-05,FDPS,Zoledronic Acid (Zoledronate),XRASPMIURGNCCH,Farnesyl Pyrophosphate Synthase Inhibitors
NCGC00092357-04,HTR1A,SIBUTRAMINE HYDROCHLORIDE,UNAANXDKBXWMLN,5-HT Reuptake Inhibitor
NCGC00346724-01,EGFR,ARRY334543,UWXSAYUXVSFDBQ,EGFR (HER1; erbB1) inhibitor
NCGC00015785-04,PGR,Progesterone,RJKFOVLPORLFTN,Progestogen hormone
NCGC00262945-02,F10,Rivaroxaban (Xarelto),KGFYHTZWPPHNLQ,Coagulation Factor Xa Inhibitor
NCGC00015888-04,,Reserpine,QEVHRUUCFGRFIF,Alkaloid anitpsychotic
NCGC00263128-01,CXCR1,PD-0220245,MOTWHVHXEUGRAJ,CXCR1/CXCR2 Receptor Antagonist
NCGC00346478-02,ERBB2,AST-1306,MVZGYPSXNDCANY,HER2/4 (erbB2) Inhibitor
NCGC00179578-04,,Mometasone furoate,WOFMFGQZHJDGCX,Corticosteroid
NCGC00015484-06,,GBR 12935 dihydrochloride,RAQPOZGWANIDQT,Dopamine Reuptake Inhibitor
NCGC00018238-08,,OXIBENDAZOLE,RAOCRURYZCVHMG,DNA Polymerase Inhibitors
NCGC00263159-01,PDGFRB,OSI-930,FGTCROZDHDSNIO,PDGFR beta inhibitor
NCGC00186465-01,AKT1,MK-2206;NSC-749607,ULDXWLCXEDXJGE,PKB/Akt Inhibitor
NCGC00262331-01,FLT3,,JIGAGGIJXJGNKQ,Flt3
NCGC00183881-01,TOP2B,Moxifloxacin hydrochloride monohydrate,FABPRXSRWADJSP,DNA Topoisomerase IV Inhibitors
NCGC00181304-01,RRM1,Imexon,BIXBBIPTYBJTRY,Ribonucleoside-Diphosphate Reductase Inhibitors
NCGC00016599-05,,Flucytosine (Ancobon),XRECTZIEBJDKEO,Pyrimidine Antagonists
NCGC00346636-01,MTOR,WYE-687,VDOCQQKGPJENHJ,mTOR inhibitor
NCGC00263179-01,BRAF,AR-00341677;GDC-0879,DEZZLWQELQORIU,Raf kinase B Inhibitor
NCGC00263134-01,RPS6KB1,PF-4708671,FBLPQCAQRNSVHB,p70 ribosomal S6 kinase (S6K1) inhibitor
NCGC00015209-12,BCL2,Cyclophosphamide;Clafen;Cytophosphane;Cytoxan;Endoxan;Neosar;Procytox;Revimmune,CMSMOCZEIVJLDB,BCL2/LGALS1 Expression Inhibitor
NCGC00167740-01,TERT,,HRYLQFBHBWLLLL,Telomerase Inhibitor
NCGC00090691-03,TERT,Didanosine,BXZVVICBKDXVGW,Reverse Transcriptase Inhibitor
NCGC00346617-01,,AZD5438,ARJWJGHFVLJPHX,CDK1/Cyclin B1 Inhibitors
,CDK1,,,CDK2/Cyclin E Inhibitors
NCGC00016423-14,BCL2L1,(-)-Gossypol,QBKSWRVVCFFDOT,Bcl-xL inhibitor
NCGC00166035-02,TUBB,,NNJPGOLRFBJNIW,Tubulin polymerization inhibitor
NCGC00346570-01,,Tebipenem pivoxil (L-084),SNUDIPVBUUXCDG,Carbapenem Antibiotic
NCGC00178852-06,,Tobramycin,NLVFBUXFDBBNBW,30S Ribosomal Protein Inhibitors
NCGC00016407-11,,SULFAMETHIZOLE,XFYCPLOQMKHGAH,Antibacterial
NCGC00346614-01,PIK3CA,PIK-294,WFSLJOPRIJSOJR,PI3K Inhibitor
NCGC00346626-01,CHEK1,CHIR-124,MOVBBVMDHIRCTG,Chk1 Inhibitor
NCGC00262376-01,FLT3,,YERJPPBISXRGBC,Flt3/IRAK Inhibitor
NCGC00346567-01,MAP2K1,AZD8330,RWEVIPRMPFNTLO,MEK inhibitor
NCGC00094571-07,,CROTAMITON,DNTGGZPQPQTDQF,antipruritic
NCGC00090774-03,,Nitazoxanide,YQNQNVDNTFHQSW,antiprotozoal agent
NCGC00263140-01,MAPK14,Talmapimod,ZMELOYOKMZBMRB,p38 MAPK Inhibitor
NCGC00017364-14,,CAFFEIC ACID,QAIPRVGONGVQAS,PPAR modulator
NCGC00246958-02,MDM4,NSC-207895 (XI-006),MWFZDJLPWDCQIL,MDM4 (MDMX) Inhibitor
NCGC00263203-02,AURKA,Danusertib;PHA-739358,XKFTZKGMDDZMJI,Aurora-A/B/C Kinase Inhibitor
NCGC00167531-03,ACHE,Rivastigmine tartrate (Exelon),XSVMFMHYUFZWBK,Acetylcholinesterase Inhibitors
NCGC00163128-07,PPARG,Pioglitazone HCl;AA-10090;Actos;Glustin;U-72107A;Zactos,HYAFETHFCAUJAY,PPARgamma Agonists?
NCGC00018296-08,NR1I3,Meclizine dihydrochloride,OCJYIGYOJCODJL,Constitutive Androstane Receptor Agonist
NCGC00015970-10,,SULINDAC,MLKXDPUZXIRXEP,non-steroidal antiinflammatory
NCGC00025330-01,HCRTR1,SB 408124,JTARFZSNUAGHRB,Orexin OX-1 Antagonists
NCGC00186010-02,,Genipin,AZKVWQKMDGGDSV,Free Radical Scavenger
NCGC00015889-10,ESR1,RALOXIFENE HYDROCHLORIDE,GZUITABIAKMVPG,Selective Estrogen Receptor Modulators (SERM)
NCGC00263129-01,CDK4,PD-0332991,AHJRHEGDXFFMBM,CDK4_:_ 6 Inhibitor
NCGC00018199-06,,Rhein (1_:_8-dihydroxy-3-carboxyl anthraquinone),FCDLCPWAQCPTKC,component of rhubarb
NCGC00347957-01,,,CQERVFFAOOUFEQ,L3MBTL3 methyllysine (Kme) reader domain inhibitor
NCGC00345492-02,HDAC8,PCI-34051,AJRGHIGYPXNABY,Histone Deacetylase 8 (HDAC8) Inhibitor
NCGC00021569-08,ACE,ENALAPRIL MALEATE,GBXSMTUPTTWBMN,Angiotensin-I Converting Enzyme Inhibitor
NCGC00347951-01,,,PAXGPAVOMLKKDQ,Lysine Specific Demethylase 1 (LSD1) Inhibitor
NCGC00186028-01,,Levetiracetam,HPHUVLMMVZITSG,N-Type Calcium Channel (Ca(v) 2.2) Blockers
NCGC00247735-02,CHRNA3,Varenicline tartrate,JQSHBVHOMNKWFT,Nicotinic alpha3beta4 Agonists
NCGC00242227-02,MAPK8,TCS JNK 5a,WQGDQGAFSDMBLA,JNK 2/3 Inhibitor
NCGC00346932-01,MMP2,SB-3CT,LSONWRHLFZYHIN,MMP-2_:_ 9 Inhibitor
NCGC00247879-01,HSP90AB1,,WJUNQSYQHHIVFX,Heat Shock Protein 90 (hsp90) Inhibitor
