Sample ID,Structure,Sample Name,Drug Name,NCGC Unique ID,Primary Mechanism of Action,Gene Symbol
NCGC00024929-01,CCN(C1=CC=CC=C1)C2=CC(=[N+](C)C(=N2)C)NC,ICI-D7288;ZD-7288?,"NCGC00024929-01;CIPLUS_700740;ICI-D2788;ICI D2788;ZENECA ZD7288;4-(N-ethyl-N-phenylamino)-1,2-dimethyl-6-(methylamino)pyrimidinium chloride;LS-172857;ZD 7288;",JABSKGQQWUDVRU,HCN [I(h)] Blockers,HCN
NCGC00250085-01,CNCC(O)C(O)C(O)C(O)CO.OC(=O)C1=CC=C(C=C1)C2=CC3=CC=CN=C3C(=N2)C4=CC5=NON=C5C=C4,NVP-ABE171,,IALXIRPKVRUJQO,Phosphodiesterase IIII (PDE4) inhibitor,PDE4A
NCGC00015892-07,O=C1N\2CCC3=C([NH]C4=C3C=CC=C4)C2=N/C5=CC=CC=C15,Rutaecarpine (Rutecarpine),,ACVGWSKVRYFWRP,Cyclooxygenase-2 Inhibitor,PTGS2
NCGC00178707-03,CCC(=O)NCC[C@@H]1CCC2=C1C3=C(OCC3)C=C2,Ramelteon (TAK-375),,YLXDSYKOBKBWJQ,Melatonin MT1/MT2 Agonist,MTNR1A
NCGC00186628-01,CCCC[N+]1(C)[C@H]2CC(C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4,,BUTYLSCOPOLAMMONIUM Br,YBCNXCRZPWQOBR,Muscarinic acetylcholine receptor Antagonists,CHRM1
NCGC00242479-01,COC1=C(N[S+]([O-])(=O)C2=C(N=CC=C2)C3=CC=C(C=C3)C4=NN=CO4)N=CC(=N1)C,Zibotentan;ZD-4054,,SOMYEPUSNJJLPY,Endothelin ETA Receptor Antagonist,EDNRA
NCGC00164594-01,O=[C@@](OCCl)[C@](CC2)(OC(OCC)=O)[C@]1(C)[C@]2([H])[C@@](CCC3=CC4=O)([H])[C@]([C@](C)3C=C4)([H])[C@@H](O)C1,Loteprednol etabonate,"Alrex;LS-177664;LOTEPREDNOL ETABONATE;loteprednol;Lotemax;Loteprednol etabonate;loteprednol etabonate;CIPLUS_192319;NCGC00164594-01;CHLOROMETHYL 17A-ETHOXYCARBONYLOXY-11B-HYDROXYANDROSTA-1,4-DIENE-3-ONE-17B-CARBOXYLATE;chloromethyl 17-ethoxycarbonyloxy-11-hydroxy-3-oxoandrosta-1,4-diene-17-carboxylate;CEHOAC;Loteprednol Etabonate;P-5604;",DMKSVUSAATWOCU,Corticosteroid,
NCGC00163547-02,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C/3=C/C(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,Ecdysone,,UPEZCKBFRMILAV,Steroid prohormone,
NCGC00015697-11,OC1=CC2=C(C(=C1)O)C(=O)\C(=C(/O2)C3=CC(=C(O)C(=C3)O)O)O,,"myricetin 3-O-(2''-O-galloyl)-beta-D-glucopyranoside;myricetin 3-O-neohesperidoside;NCGC00094083-01;myricetin 7-O-glucopyranosyl-(1-6)-glucopyranoside;NCGC00094083-03;Cannabiscetin;myricetin 7-O-beta-D-glucopyranosyl-(1-6)-beta-D-glucopyranoside;3,3',4',5,5',7-Hexahydroxyflavone;myricetin 3-O-(2'',3''-di-O-galloyl)rhamnopyranoside;myricetin 3-O-(4''-acetyl)rhamnopyranoside;myricetin 3-O-(2'',3'' -di-O-galloyl)-alpha-rhamnopyranoside;myricetin 3-O-(2''-O-galloyl)-alpha-rhamnopyranoside 7-methyl ether;myricetin 7-O-rhamnopyranosyl-(1-6)-glucopyranoside;myricetin;CIPLUS_154027;m(G)-Glu;MYRICETIN;NCGC00094083-04;NCGC_Prestw-465;myricetin 7-O-alpha-L-rhamnopyranosyl-(1-6)-beta-D-glucopyranoside;myricetin 3-O-(3''-galloyl)rhamnopyranoside 7-methyl ether;3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-1-benzopyran-4-one;myricetin-DGR;myricetin-2 cpd;NCGC00015697-02;myricetin 3-O-(2''-O-galloyl)rhamnopyranoside 7-methyl ether;Myricetin;NCGC00015697-01;myricetin-3 cpd;myricetin 3-O-(4''-acetyl)-alpha-L-rhamnopyranoside;myricetin 3-O-(3''-galloyl)-alpha-rhamnopyranoside 7-methyl ether;",IKMDFBPHZNJCSN,Cytochrome P450 CYP1A2 Inhibitor,CYP1A2
NCGC00346586-01,O[C@@H]1[C@@H](O)[C@H](O[C@@H]([C@H]1O)C(O)=O)OC2=C(O)C(=C3C(=O)\C=C(/OC3=C2)C4=CC=CC=C4)O,Baicalin,,IKIIZLYTISPENI,prolyl endopeptidase inhibitor,
NCGC00346619-01,NC1=NC=NC2=C1C(=N[N]2C3CCCC3)C4=CN=C5[NH]C=CC5=C4,PP-121,,NVRXTLZYXZNATH,PDGFR Inhibitor,PDGFRA
NCGC00346514-01,CN(C)[C@H]1CCN(C1)CC2=CC=C(C=C2C(F)(F)F)C(=O)NC3=CC=C(C)C(=C3)NC4=NC=C(C=N4)C5=CN=CN=C5,Bafetinib (INNO-406),,ZOPBZHLJXQAQON,Bcr-Abl Kinase Inhibitor,
NCGC00183875-01,Cl.Fc1cc2CC[C@@H](Oc2cc1)[C@@H](O)CNC[C@H](O)[C@@H]3CCc4cc(F)ccc4O3,rac Nebivolol hydrochloride,"nebivololum;nebivolol;Nebivolol hydrochloride;CIPLUS_213525;CIPLUS_768326;Nebivolol;A,A'-(IMINOBIS(METHYLENE))BIS(6-FLUORO-3,4-DIHYDRO-2H-1-BENZOPYRAN-2-METHANOL) HYDROCHLORIDE, DL-;NEBIVOLOL HYDROCHLORIDE;LS-178404;CIPLUS_682408;CIPLUS_767074;NEBIVOLOL;CIPLUS_767073;R-67,555;",KOHIRBRYDXPAMZ,beta1-Adrenoceptor Antagonists,ADRB1
NCGC00183867-01,O=C3C1=C(O)C=CC=C1[C@](C4=C3C(O)=CC(CO)=C4)([H])[C@@]2([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2,Aloin,"Aloin- A;CIPLUS_3886516;LS-71651;Aloin;CIPLUS_158318;isobarbaloin;barbaloin, beta-D-isomer;10-beta-D-Glucopyranosyl-1,8-dihydroxy-3-(hydroxymethyl)-9(10H)-anthracenone;Barbaloin;10-(1',5'-anhydroglucosyl)aloe-emodin-9-anthrone;barbaloin;NCGC00095271-01;NCGC00095271-02;LS-175805;LS-174213;barbaloin, monoglucoside;1,8-Dihydroxy-10-(beta-D-glucopyranosyl)-3-(hydroxymethyl)-9(10H)-anthracenone;ALOIN;barbaloin, (S)-isomer;LS-175526;",AFHJQYHRLPMKHU,Stimulant laxative,
NCGC00346825-01,[O-][N+](=O)C1=CC=C(NC2=CC=CC=C2C3=CC=CC=C3)C4=NON=C14,10074-G5,,KMJPYSQOCBYMCF,MYC Expression Inhibitors,MYC
NCGC00163532-01,OC[C@H]1O[C@@H](OC2=CC3=C(C=C2)C(=O)C(=CO3)C4=CC=C(O)C=C4)[C@H](O)[C@@H](O)[C@@H]1O,DAIDZIN,daidzin;DAIDZEIN GLUCOSIDE;Daidzein-7-O-beta-D-glucopyranoside;Daidzin;daidzein-7-glucoside;CIPLUS_685280;9   Daidzin;NCGC00163532-01;DAIDZIN;,KYQZWONCHDNPDP,Alcohol Dehydrogenase Inhibitor,ADH1
NCGC00015598-03,CC1(C)CC\C2=C(/O1)C3=C(C=CC=C3)C(=O)C2=O,,"BETA-LAPACHONE;LAPACHONE, beta-;NCGC00094066-03;NCGC00094066-04;LS-95515;NCGC00094066-01;NCGC00094066-02;beta-Lapachone;3,4-dihydro-2,2-dimethyl-2H-naphtho(1,2-b)pyran-5,6-dione;CIPLUS_207115;beta-lapachone;NCGC00015598-01;",QZPQTZZNNJUOLS,DNA Topoisomerase I/II Inhibitors,TOP1
NCGC00168114-03,CC1=CC=CC=C1N2\C(=N/C3=C(C(=CC=C3)C)C2=O)C[N]4C=NC5=C4N=CN=C5N,IC-87114,,GNWHRHGTIBRNSM,PI3K inhibitor,PIK3CA
NCGC00018302-08,N[S+]([O-])(=O)C1=C(Cl)C=C2NC(N[S+]([O-])(=O)C2=C1)C(Cl)Cl,TRICHLORMETHIAZIDE,,TWLBZVDPMBBKFJ,Diuretic,
NCGC00025346-01,CN1CCN2C(C1)C3=C(CC4=C2N=CC=C4)C=CC=C3,Mirtazepine,"PYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE, 1,2,3,4,10,14B-HEXAHYDRO-2-METHYL-, (14BR)-, (2Z)-2-BUTENEDIOATE (1:1);S-ENANTIOMER OF MIRTAZAPINE;Celltech brand of mirtazapine;LS-127703;Mirtazanine;Norset;Mirtazepine;Remergil;CIPLUS_183976;Pyrazino(2,1-a)pyrido(2,3-c)(2)benzazepine, 1,2,3,4,10,14b-hexahydro-2-methyl-;ORG 3770;NCGC_SIGMA_M0443;Organon brand of mirtazapine;PYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE, 1,2,3,4,10,14B-HEXAHYDRO-2-METHYL-, (14BR)-;HS_1230;(14BS)-1,2,3,4,10,14B-HEXAHYDRO-2-METHYLPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE (2Z)-BUTENEDIOATE;1,2,3,4,10,14b-Hexahydro-2-methylpyrazino[2,1-a]pyrido[2,3-c][2]benzazepine;mirtazapine;(14BS)-2-METHYL-1,2,3,4,10,14B-HEXAHYDROPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE;Rexer;mirtazapinum;(N-methyl-11C)mirtazapine;Remeron;ORG-4419;CIPLUS_3887628;CIPLUS_3887627;Mundogen brand of mirtazapine;Mirtazapine (Remerom);MALEATE SALT OF R-ENANTIOMER OF MIRTAZAPINE;Mirtazapina;ORG-4419-2;ORG-50081;ORG-3770;Mirtazapine;PYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE, 1,2,3,4,10,14B-HEXAHYDRO-2-METHYL-, (14BS)-, (2Z)-2-BUTENEDIOATE (1:1);Zispin;MALEATE SALT OF S-ENANTIOMER OF MIRTAZAPINE;PYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE, 1,2,3,4,10,14B-HEXAHYDRO-2-METHYL-, (14BS)-;Mirtazapinum;(14BS)-1,2,3,4,10,14B-HEXAHYDRO-2-METHYLPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE;MIRTAZAPINE;R-ENANTIOMER OF MIRTAZAPINE;(14BR)-2-METHYL-1,2,3,4,10,14B-HEXAHYDROPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE (2Z)-BUT-2-ENEDIOATE;(14BS)-2-METHYL-1,2,3,4,10,14B-HEXAHYDROPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE (2Z)-BUT-2-ENEDIOATE;CIPLUS_10560373;1,2,3,4,10,14B-HEXAHYDRO-2-METHYLPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE;CIPLUS_3780005;Esmirtazapine maleate;6-azamianserin;HS_959;NCGC00025346-02;NCGC00025346-01;(14BR)-2-METHYL-1,2,3,4,10,14B-HEXAHYDROPYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE;",RONZAEMNMFQXRA,5-HT2A/3 Antagonists?,HTR2A
NCGC00346961-01,CC1=C(NC(=O)C2=CC=NO2)C=C(C=C1)C(=O)NC3=CC(=CC(=C3)C(F)(F)F)NC(=O)C=C,HMSL10076,,UASQUKUDXJFTCO,discoidin domain receptor tyrosine kinase (DDR1),DDR1
NCGC00249391-01,C[N]1N=CC2=C1N=C(N=C2NC3=CC(=CC=C3C)C(=O)NC4=CC=CC(=C4)C(F)(F)F)C5=CC=CN=C5,,,ZCCPLJOKGAACRT,Raf kinase B/C inhibitor,BRAF
NCGC00346661-01,C/C=C(C)/C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]\1C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@H]4[C@@](C)([C@@H](O)C[C@H]5OC[C@@]45OC(C)=O)C(=O)[C@H](OC(C)=O)C(=C1C)/C2(C)C)C6=CC=CC=C6,Cephalomannine,,DBXFAPJCZABTDR,Tubulin depolymerization inhibitor,TUBB
NCGC00187906-01,OC1=CC(=CC=C1)C2=NC3=C(OC4=C3C=CC=N4)C(=N2)N5CCOCC5,PI-103,,TUVCWJQQGGETHL,"PI3Kalpha, beta, gamma Inhibitor",PIK3CA
NCGC00346882-01,C[C@H](NC(=O)C1=C(OCC2=CC=C(Cl)C=C2)C=CS1)C3=CC=CC=C3,AS 1949490,,RFZPGNRLOKVZJY,SH2 containing inositol phosphatase (SHIP) inhibitor,INPPL1
NCGC00346645-01,CC[S+]([O-])(=O)C1=CC=CC(=C1)C2=CC(=C(C)C3=C2C4=C([NH]3)N=CC(=C4)C)C(=O)NC5CCN(C)CC5,TAK-901,,RZFQUIOHJWFKEG,Aurora-A/B Inhibitor,AURKA
NCGC00092372-01,CN1C(=O)C(CC2=C[NH]C3=C2C=CC=C3)NC1=S,Necrostatin-1,necrostatin-1;Nec-1 compound;MTH-DL-Tryptophan;Necrostatin-1;NCGC00092372-02;5-(1H-indol-3-ylmethyl)-3-methyl-2-thioxo-4-Imidazolidinone;5-(indol-3-ylmethyl)-3-methyl-2-thio-Hydantoin;,TXUWMXQFNYDOEZ,RIP Kinase inhibitor,RIPK1
NCGC00159341-03,[C@@H]1(O[C@H](CS1)N\2C(\N=C(/C=C/2)N)=O)CO,Lamivudine,"lamivudine (3TC);GR-109714X;LS-2107;Lamivudine;GR109714X;zidovudine?+?lamivudine?+?nevirapine;CIPLUS_10556810;zidovudine?+?lamivudine;lamivudine triphosphate;Epivir;CIPLUS_197069;stavudine?+?lamivudine?+?nevirapine;CIPLUS_10556930;2(1H)-Pyrimidinone, 4-amino-1-(2-(hydroxymethyl)-1,3-oxathiolan-5-yl)-, (2R-cis)-;EPIVIR;AB02509316-01;LAMIVUDINE;3TC-TP;Lamivudine, (2S-cis)-Isomer;HS_546;4-AMINO-1-(2-HYDROXYMETHYL-1,3-OXATHIOLAN-5-YL)-(1H)PYRIMIDIN-2-ONE(2R,CIS);CIPLUS_215585;zidovudine + lamivudine + nevirapine;(2R, 5S) -2-(Hydroxymethyl)-5-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1,3-oxathiolane salicylate;BCH18;BCH-189;BCH 18;LAMIVUDINE W/NEVIRAPINE;LS-172904;stavudine + lamivudine + nevirapine;3TC (lamavudine);lamivudinum;zidovudine + lamivudine;2',3' Dideoxy 3' thiacytidin;lamivudine;lamivudine?(3TC);",JTEGQNOMFQHVDC,Reverse Transcriptase Inhibitor,TERT
NCGC00346436-01,COC1=CC2=NC(=NC(=C2C=C1OC)N[C@@H]3CNC[C@H]3C(C)(C)O)C4=CC(=CC=C4O)F,CCT-241533   ,,HZASIAXCPXTISQ,Checkpoint Kinase 2 (Chk2) Inhibitors,CHEK2
NCGC00163381-04,CN(C(CC1=CC=C(O[S+]([O-])(=O)C2=C3C=CN=CC3=CC=C2)C=C1)C(=O)N4CCN(CC4)C5=CC=CC=C5)[S+]([O-])(=O)C6=CC=CC7=CN=CC=C67,,,RJVLFQBBRSMWHX,Calmodulin-Dependent Protein Kinase II Inhibitors,CAMKK2
NCGC00346544-01,CN(C)CC1=CC=CC(=C1)N/C(C2=CC=CC=C2)=C/3C(=O)NC4=CC(=CC=C34)C(=O)N(C)C,BIX 02189,,HOMJAAIVTDVQJA,Mek 5 Inhibitor,MAP2K5
NCGC00166310-03,CN1CCN(CC1)C2=C3OCN(C)N4\C=C(C(O)=O)/C(=O)C(=C34)C=C2F,Marbofloxacin,,BPFYOAJNDMUVBL,Antibiotic,
NCGC00023945-13,C\C1=C\N([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,ZIDOVUDINE [AZT],,HBOMLICNUCNMMY,Reverse Transcriptase Inhibitor,TERT
NCGC00345838-01,CC(C)(O)C1=CC2=C(S1)C(=NC(=N2)C3=CN=C(N)N=C3)N4CCOCC4,GNE-493,,LEXMMFPAPDGYGZ,PI3K Inhibitor,PIK3CA
NCGC00179302-02,O=C\1NC2=C(C=CC=C2)C1=C3\NC4=C(C=CC=C4)C3=O,,,CRDNMYFJWFXOCH,CDK1/2/4/5 Inhibitor,CDK1
NCGC00345834-01,CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC(=CC=C4)C,TAK-715,,HEKAIDKUDLCBRU,p38 MAPK Inhibitor,MAPK14
NCGC00345842-01,CC\1=C(C(\N=C(/N1)C2=CC(=NC=C2)Cl)C3=C(F)C=C(Cl)C=C3)/C(=O)NC4=C(F)C=C5[NH]N=CC5=C4,GSK-25,,KZYAHEIPPAPADQ,ROCK Inhibitor,ROCK1
NCGC00263566-03,[O-]C(=O)C/1=N/C(=O)NC(=O)N1,Oxonic acid potassium salt,,RYYCJUAHISIHTL,adunct antineoplastic agent,
NCGC00274061-01,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4\C(=C(/C[C@]35C)C#N)O)[C@@H]1CC[C@@H]2O,Trilostane,,KVJXBPDAXMEYOA,Estrogen Receptor (ER) beta Modulators,ESR1
NCGC00015578-10,CC(C(O)=O)C1=CC=CC(=C1)C(=O)C2=CC=CC=C2,KETOPROFEN,,DKYWVDODHFEZIM,non-steroidal antiinflammatory,
NCGC00347283-01,C[N]1N=C(COC2=CC=C(C=C2)N3CCN(CC3)[S+](C)([O-])=O)C(=C1C)C4=C5[N](CC6=CC=CN=C6)C(=C(CCCOC7=CC(=C(Cl)C(=C7)C)C)C5=CC=C4)C(O)=O,VU0483488-1,,FPXKBOQUQVSSFK,Mcl Inhibitor,MCL1
NCGC00092290-03,NC(\SC1=CC=C(N)C=C1)=C(C#N)/C2=CC=CC=C2C(F)(F)F,SL327,,JLOXTZFYJNCPIS,Mek 1/2 inhibitor,MAP2K1
NCGC00015840-09,OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,PHLORETIN,,VGEREEWJJVICBM,ICAM1 Expression Inhibitors,
NCGC00016552-02,CC(=O)OC\C1=C(\[N@]2[C@@H](SC1)[C@H](N)C2=O)C(O)=O,,,HSHGZXNAXBPPDL,Cephalosporin intermediate,
NCGC00024246-13,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(C)=O)C(=C3C2=O)O,DAUNORUBICIN,,STQGQHZAVUOBTE,Antineoplastic Antibiotics,
NCGC00159483-03,CCN(CCO)CCCC(C)NC1=CC=NC2=CC(=CC=C12)Cl,Hydroxychloroquine sulfate;Plaquenil???,,XXSMGPRMXLTPCZ,Autophagy Inhibitor,MAP1LC3A
NCGC00015705-04,NC(CC2(C)C1)(CC3C2)CC1(C3)C,Memantine,"NCGC00024782-01;Memantine hydrochloride;3,5-Dimethylamantadine hydrochloride;NCGC00024782-02;MEMANTINE;MEMANTINE HYDROCHLORIDE;3,5-Dimethyl-1-adamantanamine hydrochloride;LS-157051;memantinum;HS_986;Memantine;Memantinum;NCGC00016848-01;Memantine Hydrochloride;Memantina;memantine;Tricyclo(3.3.1.13,7)decan-1-amine, 3,5-dimethyl-;Memantine HCL;Merz Brand of Memantine Hydrochloride;Axura;NCGC00094186-01;CIPLUS_758735;D 14;Ebixa;NCGC00094186-02;CIPLUS_172134;Lundbeck Brand of Memantine Hydrochloride;NCGC00015705-01;1-Amino-3,5-dimethyladamantane;Namenda;NCGC_Prestw-978;Memantin;D145;1-AMINO-3,5-DIMETHYL-ADAMANTANE HYDROCHLORIDE;NCGC00024782-03;D-145;",BUGYDGFZZOZRHP,NMDA Antagonist,GRIN2A
NCGC00345832-01,OCC(=O)N1CCC(CC1)C2=N[NH]C(=C2C3=NC=NC=C3)C4=CC=C(Cl)C=C4,SD-06,,CATQHDWESBRRQA,p38 MAPK Inhibitor,MAPK14
NCGC00162288-06,CCCC(CCC)C([O-])=O,VALPROATE SODIUM,,NIJJYAXOARWZEE,GSK-3 inhibitor,GSK3B
NCGC00094374-05,CC[C@H](CO)NC1=NC(=C2N=C[N](C(C)C)C2=N1)NCC3=CC=CC=C3,Seliciclib;(R)-Roscovitine;CYC-202;NSC-701554,,BTIHMVBBUGXLCJ,"CDK 1,2,5,7,9 Inhibitor",CDK1
NCGC00346680-01,OC(=O)C[N]1N=NC(=N1)C2=CC(=NO2)N3CCC(CC3)OC4=CC(=CC=C4Br)F,MK-8245,,UJEAABFSXKCSGI,Stearoyl-CoA Desaturase Inhibitors,SCD
NCGC00346562-01,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(\N2C1=O)C(=O)OCOC(=O)C(C)(C)C)/C=C\C3=C(C)N=CS3)C4=CSC(=N4)N,Cefditoren pivoxil,,AFZFFLVORLEPPO,Cephalosporin antibiotic,
NCGC00248196-02,CC1(C)CC(O)CC(C)(C)N1[O],Tempol,,UZFMOKQJFYMBGY,Free Radical Scavenger,
NCGC00015205-07,CCC(C)N(C)C(=O)C1=NC(=C2C=CC=CC2=C1)C3=C(Cl)C=CC=C3,PK-11195,,RAVIZVQZGXBOQO,Constitutive Androstane Receptor Antagonist,NR1I3
NCGC00016797-04,CC1(C)S[C@H]2[C@H](NC(=O)[C@@H](N)C3=CC=C(O)C=C3)C(=O)[N@]2[C@H]1C(O)=O,,,LSQZJLSUYDQPKJ,beta-lactam antibiotic,
NCGC00346469-01,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)C1=CC=CC(=N1)C2=CC=CC=C2)[C@@H](C)O)B(O)O,CEP18770,,SJFBTAPEPRWNKH,Proteasome Inhibitor,PSMD1
NCGC00160391-05,CC[P](CC)(CC)=[Au]S[C@@H]1OC(COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)C1OC(C)=O,Auranofin,,AUJRCFUBUPVWSZ,Thioredoxin Reductase Inhibitors,TXNRD1
NCGC00015754-15,CC1(C)NC(=O)N(C2=CC(=C(C=C2)[N+]([O-])=O)C(F)(F)F)C1=O,NILUTAMIDE,,XWXYUMMDTVBTOU,Androgen Receptor Antagonist,AR
NCGC00346736-01,C[C@]12CC[C@H]3[C@@H](CCC/4=C/C(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5,Testosterone cypionate,,HPFVBGJFAYZEBE,Androgen Receptor Activator,AR
NCGC00178483-04,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]4CC[C@@]5(C)[C@@H](OC(=O)[C@H]6O[C@@]56[C@]4(C)C(=O)C[C@@H]13)C7=COC=C7,Limonin,,KBDSLGBFQAGHBE,antiviral,
NCGC00090762-03,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C4=C(C(=C3C)O)C(=O)\C(=C/5NC6(CCN(CC6)CC(C)C)/N=C45)NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C,Rifabutin,,ATEBXHFBFRCZMA,DNA-Directed RNA Polymerase Inhibitor,PRKDC
NCGC00262608-02,CN1CCN(CC1)C2=CC=C(NC3=NC=C(C)C(=N3)NC4=CC(=CC=C4)[S+]([O-])(=O)NC(C)(C)C)C=C2,TG101209,,ITOABKQCSFXXHU,Jak2 inhibitor,JAK2
NCGC00017280-22,C/C1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1,TRETINON,,SHGAZHPCJJPHSC,Retinoid RORbeta Ligand,RORB
NCGC00161290-05,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,"16,16-Dimethyl Prostaglandin E2",,QAOBBBBDJSWHMU,prostaglandin,
NCGC00263192-02,OC(=O)C1=CC2=C(C=C1)C3=CN=CC=C3C(=N2)NC4=CC=CC(=C4)Cl,Silmitasertib;CX-4945,,MUOKSQABCJCOPU,Casein Kinase II (CK2) Inhibitor,
NCGC00017358-14,COC1=CC2=C(C=C1OC)[C@H]3[C@@H](CO2)OC4=C(C=CC5=C4C[C@@H](O5)C(C)=C)C3=O,ROTENONE,,JUVIOZPCNVVQFO,NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NDUFAF1
NCGC00346842-01,C[N]1C=C(C[C@@H](N)C(O)=O)C2=C1C=CC=C2,Indoximod,,ZADWXFSZEAPBJS,"Indoleamine 2,3-dioxygenase (IDO) inhibitor",IDO1
NCGC00164604-03,CC(C)[N]1C2=CC=CC=C2C(=C1\C=C\[C@H](O)C[C@H](O)CC([O-])=O)C3=CC=C(F)C=C3,Fluvastatin;SRI-62320/XU-62-320,,FJLGEFLZQAZZCD,HMG-CoA Reductase Inhibitors,HMGCR
NCGC00188863-01,CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c3cc(ccc3oc2CCCC)NS(C)(=O)=O,Dronedarone,Dronedarone,HADAWBYLCBLLQX,"alpha,beta-Adrenoceptor Antagonists",ADRA1A
NCGC00016210-06,CC1=C(C(=O)C2=C3C=CC=CC3=CC=C2)C4=C5N1[C@H](CN6CCOCC6)COC5=CC=C4,,,HQVHOQAKMCMIIM,Cannabinoid Receptor Agonist,CNR1
NCGC00070736-04,CC(C)C[N]1C=NC2=C(N)N=C3C=CC=CC3=C12,Imiquimod,,DOUYETYNHWVLEO,TLR 7 Receptor Antagonist,TLR7
NCGC00164590-03,C[C@]\12CCC(=O)\C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7,Drospirenone,,METQSPRSQINEEU,Synthetic progesterone,PGR
NCGC00274065-01,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC/5=C/C(=O)/C=C\[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,Desonide,,WBGKWQHBNHJJPZ,Corticosteroid,
NCGC00160397-01,NC1=NC(N)=NC(C2=CC(Cl)=CC=C2Cl)=N1.O=C(O)/C=C\C(O)=O,Irsogladine maleate,"LS-155294;2,4-DIAMINO-6-(2,5-DICHLOROPHENYL)-S-TRIAZINE;IRSOGLADINE;CIPLUS_210905;6-(2,5-Dichlorophenyl)-1,3,5-triazine-2,4-diamine maleate;MN-1695;NCGC00160397-02;LS-155251;Irsogladine maleate;irsogladine;irsogladinum;Irsogladine;MN 1695;Gaslon N;IRSOGLADINE MALEATE;DCPDAT;6-(2,5-dichlorophenyl)-2,4-diamino-1,3,5-triazine;2,4-diamino-6-(2,5-dichlorophenyl)-s-triazine maleate;Irsogladine Maleate;CIPLUS_696248;irsogladine maleate;2,4-Diamino-6-(2,5-dichlorophenyl)-s-triazine maleate;",ATCGGEJZONJOCL,M1 Muscarinic acetylcholine receptor Antagonists,CHRM1
NCGC00345794-01,N[S+]([O-])(=O)OC[C@@H]1C[C@H](C[C@@H]1O)[N]2C=CC3=C2N=CN=C3N[C@H]4CCC5=C4C=CC=C5,MLN-4924,,WJQLJGAIUZXWJO,NEDD8-Activating Enzyme (NAE) Inhibitors,NAE1
NCGC00014352-03,CN(C)C1=C(CN2CCCN(CC3=C(C=CC=C3)N(C)C)C2C4=CC=NC=C4)C=CC=C1,GANT61,,KVQOGDQTWWCZFX,Hedgehog pathway inhibitor,SHH
