,HTR2A,G9
artemesinin analogue,NCGC00263265-01,,D10
artemesinin analogue,NCGC00263265-01,,F2
artemesinin analogue,NCGC00263265-01,,G8
artemesinin analogue,NCGC00263265-01,,G9
artemesinin analogue,NCGC00263265-01,,C8
artemesinin analogue,NCGC00263268-01,,D10
artemesinin analogue,NCGC00263268-01,,F2
artemesinin analogue,NCGC00263268-01,,G8
artemesinin analogue,NCGC00263268-01,,G9
artemesinin analogue,NCGC00263268-01,,C8
artemesinin analogue,NCGC00263270-01,,D10
artemesinin analogue,NCGC00263270-01,,F2
artemesinin analogue,NCGC00263270-01,,G8
artemesinin analogue,NCGC00263270-01,,G9
artemesinin analogue,NCGC00263270-01,FAS,G8
FAS inhibitor,NCGC00263281-01,FAS,G9
Steroid 5alpha-Reductase Inhibitors,NCGC00263522-02,,G9
50S Ribosomal Protein Inhibitors,NCGC00263531-03,HTR2A,F2
5-HT2A Antagonists?,NCGC00263539-03,HTR2A,G9
5-HT2A Antagonists?,NCGC00263539-03,USP10,C8
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,D10
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,F2
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G8
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G9
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,,F2
K(ATP) Channel Activators,NCGC00263564-02,,G8
K(ATP) Channel Activators,NCGC00263564-02,,G9
K(ATP) Channel Activators,NCGC00263564-02,TOP2A,C8
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G9
Phosphodiesterase III (PDE3) Inhibitor,NCGC00274063-01,MPL,G9
Thrombopoietin Receptor (TpoR) Agonists,NCGC00274067-01,,G9
Chk1 Inhibitor,NCGC00343768-01,,G9
lineage-specific differentiation enhancer,NCGC00344053-01,,G8
Calcium Channel Blocker,NCGC00344506-01,CASR,F2
Calcium-Sensing Receptor (CaSR) Agonists,NCGC00344507-02,CASR,G9
Calcium-Sensing Receptor (CaSR) Agonists,NCGC00344509-01,,F2
Opioid receptor antagonist,NCGC00344511-02,,G8
Opioid receptor antagonist,NCGC00344511-02,,G9
Opioid receptor antagonist,NCGC00344511-02,OPRL1,F2
ORL1 (OP4_:_ NOP) Antagonists,NCGC00344513-01,OPRL1,G9
ORL1 (OP4_:_ NOP) Antagonists,NCGC00344513-01,,F2
DOT1L Inhibitor,NCGC00344622-02,,G8
DOT1L Inhibitor,NCGC00344622-02,,G9
DOT1L Inhibitor,NCGC00344622-02,PSMD1,C8
Proteasome Inhibitor,NCGC00344630-01,PSMD1,D10
Proteasome Inhibitor,NCGC00344630-01,PSMD1,F2
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G8
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G9
Proteasome Inhibitor,NCGC00344630-01,ITK,C8
ITK inhibitor,NCGC00344990-01,ITK,D10
ITK inhibitor,NCGC00344990-01,ITK,F2
ITK inhibitor,NCGC00344990-01,ITK,G8
ITK inhibitor,NCGC00344990-01,ITK,G9
ITK inhibitor,NCGC00344990-01,PDE4A,G8
Phosphodiesterase IIII D (PDE4D) inhibitor,NCGC00345018-01,PDE4A,G9
Phosphodiesterase IIII D (PDE4D) inhibitor,NCGC00345018-01,,C8
lineage-specific differentiation enhancer,NCGC00345082-01,,D10
lineage-specific differentiation enhancer,NCGC00345082-01,,G8
lineage-specific differentiation enhancer,NCGC00345082-01,,G9
lineage-specific differentiation enhancer,NCGC00345082-01,,G8
lineage-specific differentiation enhancer,NCGC00345083-01,,G9
lineage-specific differentiation enhancer,NCGC00345083-01,SHH,F2
Hedgehog antagonist,NCGC00345084-01,SHH,G9
Hedgehog antagonist,NCGC00345084-01,JAK2,F2
Jak2 inhibitor,NCGC00345461-02,JAK2,G8
Jak2 inhibitor,NCGC00345461-02,JAK2,G9
Jak2 inhibitor,NCGC00345461-02,HDAC1,C8
HDAC Inhibitor,NCGC00345539-02,HDAC1,D10
HDAC Inhibitor,NCGC00345539-02,HDAC1,F2
HDAC Inhibitor,NCGC00345539-02,HDAC1,G8
HDAC Inhibitor,NCGC00345539-02,HDAC1,G9
HDAC Inhibitor,NCGC00345539-02,IKBKB,C8
IKK Inhibitor,NCGC00345782-01,IKBKB,D10
IKK Inhibitor,NCGC00345782-01,IKBKB,F2
IKK Inhibitor,NCGC00345782-01,IKBKB,G8
IKK Inhibitor,NCGC00345782-01,IKBKB,G9
IKK Inhibitor,NCGC00345782-01,PAK4,C8
p21-Activated Kinase 4 (PAK4) Inhibitors,NCGC00345784-01,PAK4,F2
p21-Activated Kinase 4 (PAK4) Inhibitors,NCGC00345784-01,PAK4,G9
p21-Activated Kinase 4 (PAK4) Inhibitors,NCGC00345784-01,PDE4A,F2
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00345792-01,PDE4A,G8
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00345792-01,PDE4A,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00345792-01,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00345793-01,MET,G9
HGFR (MET; c-Met) Inhibitor,NCGC00345793-01,NAE1,F2
NEDD8-Activating Enzyme (NAE) Inhibitors,NCGC00345794-01,AKT1,G8
PKB/Akt Inhibitor,NCGC00345795-01,JAK2,F2
Jak2 inhibitor,NCGC00345798-01,PSMD1,C8
Proteasome Inhibitor,NCGC00345799-01,PSMD1,D10
Proteasome Inhibitor,NCGC00345799-01,PSMD1,F2
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G8
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G9
Histone Deacetylase (HDAC) 6 Inhibitor,NCGC00345802-01,IMPDH1,C8
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,IMPDH1,F2
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,IMPDH1,G8
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,IMPDH1,G9
STAT-3 Inhibitor,NCGC00345805-01,CDK1,C8
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,D10
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,F2
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G8
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G9
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,STAT3,C8
STAT-3 Inhibitor,NCGC00345811-01,STAT3,D10
STAT-3 Inhibitor,NCGC00345811-01,STAT3,F2
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G8
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G9
STAT-3 Inhibitor,NCGC00345811-01,FLT1,F2
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345821-01,FLT1,G8
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345821-01,LIMK1,F2
LIMK Inhibitor,NCGC00345825-01,LIMK1,G8
LIMK Inhibitor,NCGC00345825-01,MAPK8,F2
JNK Inhibitor,NCGC00345826-01,MAPK8,G8
JNK Inhibitor,NCGC00345826-01,SRC,C8
cSRC inhibitor,NCGC00345829-01,SRC,F2
cSRC inhibitor,NCGC00345829-01,ROCK2,F2
ROCK II Inhibitor,NCGC00345833-01,MAPK14,F2
p38 MAPK Inhibitor,NCGC00345834-01,MAPK14,G8
p38 MAPK Inhibitor,NCGC00345834-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00345834-01,PIK3CA,D10
PI3K Inhibitor,NCGC00345837-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345837-01,PIK3CA,D10
PI3K Inhibitor,NCGC00345838-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345838-01,JAK2,C8
Jak2 inhibitor,NCGC00345845-01,JAK2,D10
Jak2 inhibitor,NCGC00345845-01,JAK2,F2
Jak2 inhibitor,NCGC00345845-01,JAK2,G8
Jak2 inhibitor,NCGC00345845-01,JAK2,G9
Jak2 inhibitor,NCGC00345845-01,JAK2,C8
Jak2 inhibitor,NCGC00345846-01,JAK2,D10
Jak2 inhibitor,NCGC00345846-01,JAK2,F2
Jak2 inhibitor,NCGC00345846-01,JAK2,G8
Jak2 inhibitor,NCGC00345846-01,JAK2,G9
Jak2 inhibitor,NCGC00345846-01,PIK3CA,D10
PI3K Inhibitor,NCGC00345849-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345849-01,MAPK8,C8
JNK Inhibitor,NCGC00345850-01,MAPK8,F2
JNK Inhibitor,NCGC00345850-01,MAPK8,G8
JNK Inhibitor,NCGC00345850-01,MAPK8,G9
JNK Inhibitor,NCGC00345850-01,PIK3CA,C8
PI3K Inhibitor,NCGC00345851-01,PIK3CA,D10
PI3K Inhibitor,NCGC00345851-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345851-01,CDK1,C8
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,D10
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,F2
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00345852-01,JAK2,F2
Jak2 inhibitor,NCGC00345854-01,JAK2,G8
Jak2 inhibitor,NCGC00345854-01,BTK,F2
BTK Inhibitor,NCGC00345857-01,BTK,G8
BTK Inhibitor,NCGC00345857-01,FLT1,F2
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345858-01,FLT1,G8
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345858-01,FLT1,G9
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345858-01,AVPR1A,F2
Vasopressin (AVP) V1a/V2 Antagonists,NCGC00345881-02,AVPR1A,G9
Vasopressin (AVP) V1a/V2 Antagonists,NCGC00345881-02,HSP90AB1,C8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,SLC6A3,F2
Dopamine Transporter (DAT) Inhibitor,NCGC00346439-01,SLC6A3,G9
Dopamine Transporter (DAT) Inhibitor,NCGC00346439-01,SPHK2,C8
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,SPHK2,F2
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,SPHK2,G8
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,SPHK2,G9
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,,F2
Phosphodiesterase III/Va (PDE) inhibitor,NCGC00346449-01,MAP2K1,C8
Mek Inhibitor,NCGC00346455-01,MAP2K1,D10
Mek Inhibitor,NCGC00346455-01,MAP2K1,F2
Mek Inhibitor,NCGC00346455-01,MAP2K1,G8
Mek Inhibitor,NCGC00346455-01,MAP2K1,G9
Mek Inhibitor,NCGC00346455-01,,C8
FGFR Inhibitor,NCGC00346459-01,,D10
FGFR Inhibitor,NCGC00346459-01,,G8
FGFR Inhibitor,NCGC00346459-01,PSMD1,C8
Proteasome Inhibitor,NCGC00346469-01,PSMD1,D10
Proteasome Inhibitor,NCGC00346469-01,PSMD1,F2
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G8
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G9
Bacterial Efflux Pump Inhibitors,NCGC00346474-01,EGFR,F2
EGFR (HER1; erbB1) Inhibitor,NCGC00346483-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346484-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346484-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346484-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346484-01,IGFR1,F2
IGF-1R Inhibitor,NCGC00346485-01,IGFR1,G8
IGF-1R Inhibitor,NCGC00346485-01,IGFR1,G9
IGF-1R Inhibitor,NCGC00346485-01,HDAC1,D10
HDAC Inhibitor,NCGC00346486-01,HDAC1,F2
HDAC Inhibitor,NCGC00346486-01,HDAC1,G8
HDAC Inhibitor,NCGC00346486-01,HDAC1,G9
HDAC Inhibitor,NCGC00346486-01,HDAC1,C8
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,D10
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,F2
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G8
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G9
HDAC1 Inhibitor,NCGC00346487-01,EGFR,C8
EGFR (HER1; erbB1) Inhibitor,NCGC00346496-01,EGFR,F2
EGFR (HER1; erbB1) Inhibitor,NCGC00346496-01,PIK3CA,C8
PI3K Inhibitor,NCGC00346500-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346500-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346500-01,NOTCH1,F2
g-Secretase Inhibitor,NCGC00346504-01,NOTCH1,G9
g-Secretase Inhibitor,NCGC00346504-01,PIK3CA,C8
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,D10
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,F2
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G8
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G9
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00346511-01,,F2
Bcr-Abl Kinase Inhibitor,NCGC00346514-01,,G8
Bcr-Abl Kinase Inhibitor,NCGC00346514-01,,G9
Bcr-Abl Kinase Inhibitor,NCGC00346514-01,,C8
Macrolide Antibiotic,NCGC00346523-01,,D10
Macrolide Antibiotic,NCGC00346523-01,,F2
Macrolide Antibiotic,NCGC00346523-01,,G8
Macrolide Antibiotic,NCGC00346523-01,,G9
Macrolide Antibiotic,NCGC00346523-01,,C8
Polyether Antibiotic,NCGC00346524-01,,D10
Polyether Antibiotic,NCGC00346524-01,,F2
Polyether Antibiotic,NCGC00346524-01,,G8
Polyether Antibiotic,NCGC00346524-01,,G9
Polyether Antibiotic,NCGC00346524-01,AURKA,F2
Aurora A Inhibitor,NCGC00346525-01,AURKA,G8
Sodium channel inhibitor,NCGC00346529-01,MAP2K1,C8
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00346530-01,,F2
HCV NS5A Inhibitors,NCGC00346533-01,,G8
HCV NS5A Inhibitors,NCGC00346533-01,,G9
HCV NS5A Inhibitors,NCGC00346533-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346536-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346536-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346536-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346536-01,MAPK14,D10
p38 MAPK Inhibitor,NCGC00346537-01,MAPK14,F2
p38 MAPK Inhibitor,NCGC00346537-01,MAPK14,G8
p38 MAPK Inhibitor,NCGC00346537-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00346537-01,,C8
Antifungal Agent,NCGC00346538-01,,F2
Antifungal Agent,NCGC00346538-01,,G9
Antifungal Agent,NCGC00346538-01,AURKA,F2
Aurora Kinase Inhibitor,NCGC00346539-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346539-01,AURKA,F2
Aurora Kinase Inhibitor,NCGC00346542-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346542-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346542-01,MAP2K5,F2
Mek 5 Inhibitor,NCGC00346543-01,MAP2K5,F2
Mek 5 Inhibitor,NCGC00346544-01,CFTR,C8
CFTR Channel Modulator,NCGC00346550-01,CFTR,D10
CFTR Channel Modulator,NCGC00346550-01,CFTR,F2
CFTR Channel Modulator,NCGC00346550-01,TEK,F2
Tie-2 kinase inhibitor,NCGC00346554-01,TEK,G9
Tie-2 kinase inhibitor,NCGC00346554-01,ADRA1A,F2
alpha1-Adrenoceptor Antagonists,NCGC00346558-01,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00346558-01,TOP2A,C8
DNA Topoisomerase II Inhibitors,NCGC00346563-01,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00346563-01,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00346563-01,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00346563-01,GPR119,F2
Glucose-Dependent Insulinotropic Receptor (GDIR_:_ GPR119) Agonists,NCGC00346568-01,GPR119,G9
Glucose-Dependent Insulinotropic Receptor (GDIR_:_ GPR119) Agonists,NCGC00346568-01,KIF11,F2
Tubulin polymerization inhibitor,NCGC00346580-01,JAK2,F2
Jak2/3 Inhibitor,NCGC00346581-01,ERBB2,C8
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,D10
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,F2
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G8
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00346582-01,,F2
Alkaloid,NCGC00346589-01,,C8
antimalarial agents,NCGC00346590-01,,G8
antimalarial agents,NCGC00346590-01,,G9
antimalarial agents,NCGC00346590-01,,F2
5-HT Release Inhibitor,NCGC00346591-01,,G8
5-HT Release Inhibitor,NCGC00346591-01,,G9
5-HT Release Inhibitor,NCGC00346591-01,PDE5A,G8
Phosphodiesterase V (PDE5) inhibitor,NCGC00346592-01,PDE5A,G9
Phosphodiesterase V (PDE5) inhibitor,NCGC00346592-01,GRM2,G9
mgluR2/3 Agonists,NCGC00346612-01,PDGFRA,C8
PDGFR Inhibitor,NCGC00346619-01,PDGFRA,D10
PDGFR Inhibitor,NCGC00346619-01,PDGFRA,F2
PDGFR Inhibitor,NCGC00346619-01,PDE4A,F2
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00346620-01,PDE4A,G8
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00346620-01,PDE4A,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00346620-01,SYK,C8
Syk Kinase inhibitor,NCGC00346622-01,SYK,D10
Syk Kinase inhibitor,NCGC00346622-01,SYK,F2
Syk Kinase inhibitor,NCGC00346622-01,SYK,G8
Syk Kinase inhibitor,NCGC00346622-01,SYK,G9
Syk Kinase inhibitor,NCGC00346622-01,GCK,F2
Glucokinase activator,NCGC00346628-01,GCK,G8
Glucokinase activator,NCGC00346628-01,,F2
HIV Integrase Inhibitors,NCGC00346629-01,,G9
HIV Integrase Inhibitors,NCGC00346629-01,PDE10A,C8
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,D10
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,F2
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G8
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G9
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,MTOR,C8
mTOR inhibitor,NCGC00346634-01,MTOR,D10
mTOR inhibitor,NCGC00346634-01,MTOR,G8
mTOR inhibitor,NCGC00346634-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346643-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346643-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346643-01,SRC,F2
Src Kinase Inhibitors,NCGC00346644-01,SRC,G8
Src Kinase Inhibitors,NCGC00346644-01,SRC,G9
Src Kinase Inhibitors,NCGC00346644-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346649-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346649-01,AURKA,C8
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,D10
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,F2
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346652-01,MTOR,D10
mTORC1/2 inhibitor,NCGC00346654-01,MTOR,F2
mTORC1/2 inhibitor,NCGC00346654-01,MTOR,G8
mTORC1/2 inhibitor,NCGC00346654-01,MTOR,G9
mTORC1/2 inhibitor,NCGC00346654-01,DPP4,F2
Dipeptidyl Peptidase IV (CD26; DPP-IV; DP-IV) Inhibitor,NCGC00346655-01,CDK1,C8
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,D10
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,F2
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00346656-01,PDGFRB,C8
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,D10
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,F2
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346658-01,PIK3CA,C8
PI3K Inhibitor,NCGC00346659-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346659-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346659-01,CDK1,C8
CDK1/2/4/5 Inhibitor,NCGC00346673-01,HSP90AB1,C8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,AURKA,F2
Aurora-A/B/C Kinase Inhibitor,NCGC00346676-01,AURKA,G8
Aurora-A/B/C Kinase Inhibitor,NCGC00346676-01,AURKA,G9
Aurora-A/B/C Kinase Inhibitor,NCGC00346676-01,PIK3CA,C8
PI3K Inhibitor,NCGC00346681-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346681-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346681-01,PIKFYVE,F2
PIKfyve Inhibitor,NCGC00346683-01,PIKFYVE,G8
PIKfyve Inhibitor,NCGC00346683-01,PIKFYVE,G9
PIKfyve Inhibitor,NCGC00346683-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346685-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346685-01,PDPK1,D10
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PDPK1,F2
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PDPK1,G8
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PIK3CA,C8
PI3K Inhibitor,NCGC00346692-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346692-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G9
VEGFR-1 (Flt-1) Inhibitors,NCGC00346695-01,MTOR,G8
mTORC1/2 inhibitor,NCGC00346698-01,MTOR,G9
mTORC1/2 inhibitor,NCGC00346698-01,COX10,F2
Farnesyltransferase Inhibitor,NCGC00346707-01,COX10,G9
Farnesyltransferase Inhibitor,NCGC00346707-01,,C8
photosensitizer,NCGC00346712-01,,D10
photosensitizer,NCGC00346712-01,,F2
photosensitizer,NCGC00346712-01,,G8
photosensitizer,NCGC00346712-01,,G9
photosensitizer,NCGC00346712-01,BRAF,C8
Raf kinase B Inhibitor,NCGC00346716-01,BRAF,F2
Raf kinase B Inhibitor,NCGC00346716-01,BRAF,G8
Raf kinase B Inhibitor,NCGC00346716-01,BRAF,G9
Raf kinase B Inhibitor,NCGC00346716-01,PDGFRB,C8
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,D10
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,F2
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346718-01,BACE1,G8
beta-Secretase Inhibitor,NCGC00346719-01,EGFR,C8
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,,F2
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346735-01,,G8
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346735-01,,G9
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346735-01,KCNQ1,G8
Voltage-Gated K(V) 7 (KCNQ) Channel Activator,NCGC00346739-01,KCNQ1,G9
alpha1-Adrenoceptor Antagonists,NCGC00346740-01,TBXA2R,F2
Prostanoid TP Agonist,NCGC00346741-01,TBXA2R,G8
Prostanoid TP Agonist,NCGC00346741-01,HDAC1,D10
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,CDK1,C8
CDK1/2/4/6,NCGC00346827-01,CDK1,D10
CDK1/2/4/6,NCGC00346827-01,CDK1,F2
CDK1/2/4/6,NCGC00346827-01,CDK1,G8
CDK1/2/4/6,NCGC00346827-01,CDK1,G9
CDK1/2/4/6,NCGC00346827-01,MGLL,G9
P-Glycoprotein (MDR-1; ABCB1) Inhibitors,NCGC00346894-01,PTK2,C8
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,D10
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,F2
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G8
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G9
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,LCK,F2
Lyn Kinase Inhibitor,NCGC00346933-01,LCK,G8
Lyn Kinase Inhibitor,NCGC00346933-01,LCK,G9
Lyn Kinase Inhibitor,NCGC00346933-01,PIM1,G8
Pim 1/2/3 Kinase Inhibitor,NCGC00346935-01,,F2
Thrombin Inhibitors,NCGC00346938-01,,G8
Thrombin Inhibitors,NCGC00346938-01,,G9
Thrombin Inhibitors,NCGC00346938-01,CDK1,C8
CDK1/2 Inhibitor,NCGC00346940-01,CDK1,D10
